,name,group,min,max,mean,stddev,rounds,median,iqr,q1,q3,iqr_outliers,stddev_outliers,outliers,ld15iqr,hd15iqr,ops,total,data,iterations,algorithm,Np
0,test_ssca[8],,0.0099655889935093,0.01459873400744982,0.0115095922985347,0.0010787146904405705,50,0.011159033500007354,0.0015645790117559955,0.010698481986764818,0.012263060998520814,0,14,14;0,0.0099655889935093,0.01459873400744982,86.88405063030002,0.5754796149267349,"[0.01459873400744982, 0.013131826010067016, 0.010470857989275828, 0.010306803989806212, 0.01065775599272456, 0.012785172002622858, 0.011267930996837094, 0.010921347013209015, 0.0099655889935093, 0.010996676996001042, 0.01174637999793049, 0.010157896991586313, 0.0112175969989039, 0.010456492003868334, 0.010032723992480896, 0.011796213002526201, 0.012405125991790555, 0.01173085100890603, 0.010385489993495867, 0.011691958992742002, 0.012313954997807741, 0.010440611993544735, 0.013005070999497548, 0.011045948005630635, 0.010794200003147125, 0.010905477000051178, 0.011059883996495046, 0.01247771100315731, 0.013726511999266222, 0.010706026005209424, 0.012137807992985472, 0.011539935992914252, 0.010864280004170723, 0.012767408989020623, 0.01152537899906747, 0.010940713007585146, 0.010962222004309297, 0.010280564994900487, 0.01401157199870795, 0.011796063001384027, 0.011100470001110807, 0.010471389003214426, 0.010638471008860506, 0.012263060998520814, 0.010698481986764818, 0.011984622993622907, 0.010926876988378353, 0.012851123989094049, 0.012348339994787239, 0.012172012007795274]",1,ssca,8
14,test_fastsc[8],,0.7051746680081123,0.7292160610086285,0.7170664371200837,0.004979771978167657,50,0.7178412444918649,0.004992916001356207,0.7151125180098461,0.7201054340112023,4,14,14;4,0.7079717110027559,0.7292160610086285,1.394570918723023,35.853321856004186,"[0.7148741739947582, 0.7148165359976701, 0.7166777160018682, 0.7134118340036366, 0.7137202640005853, 0.7178906099870801, 0.7220824510004604, 0.7201054340112023, 0.7245731680013705, 0.7199243619979825, 0.7173269699997036, 0.7195473530009622, 0.7199668749963166, 0.7221089770027902, 0.7066650259948801, 0.7192840839998098, 0.7209432309900876, 0.715149448995362, 0.710318097990239, 0.7092598599992925, 0.7110390159941744, 0.7184823309944477, 0.722332538003684, 0.718770785999368, 0.7173518070048885, 0.7188710819900734, 0.7152727299981052, 0.7154282859992236, 0.7163455889967736, 0.7196354320039973, 0.7292160610086285, 0.7209407810005359, 0.7204828219983028, 0.7172070210071979, 0.7218534880084917, 0.7177918789966498, 0.7157608279958367, 0.7170184020069428, 0.7190758270007791, 0.7218389269983163, 0.7221489929943345, 0.7154516510054236, 0.7198359690082725, 0.7056104009971023, 0.7151125180098461, 0.7079717110027559, 0.7051746680081123, 0.7083253730088472, 0.7199629480019212, 0.720365518995095]",1,fastsc,8
7,test_fam[8],,0.014921565001714043,0.017934542993316427,0.015424372060224414,0.0005374101140982825,50,0.015256935002980754,0.00036342599196359515,0.015121787000680342,0.015485212992643937,5,7,7;5,0.014921565001714043,0.016103437999845482,64.83246099714809,0.7712186030112207,"[0.017934542993316427, 0.015259855004842393, 0.015485623007407412, 0.015254015001119114, 0.016103437999845482, 0.015305898996302858, 0.015121787000680342, 0.01680459400813561, 0.015436464003869332, 0.015485212992643937, 0.01625109500309918, 0.015145039011258632, 0.015300729006412439, 0.01495812099892646, 0.015865139008383267, 0.015268752002157271, 0.015420424999319948, 0.015498456996283494, 0.015396842994960025, 0.01523961900966242, 0.014998964994447306, 0.01601787400431931, 0.01507232700532768, 0.015171936989645474, 0.015138285991270095, 0.015448677004314959, 0.015141851996304467, 0.015002992004156113, 0.015129651001188904, 0.015092273009940982, 0.015047651992063038, 0.014946419993066229, 0.01514943600341212, 0.015744150994578376, 0.015443035998032428, 0.015317921002861112, 0.015165474993409589, 0.015043424995383248, 0.015962705001584254, 0.015169232006883249, 0.015048183995531872, 0.015063290993566625, 0.014975993006373756, 0.0152325670060236, 0.015474353000172414, 0.015754357998957857, 0.014921565001714043, 0.016297127993311733, 0.015228408999973908, 0.015482817994779907]",1,fam,8
1,test_ssca[16],,0.02191852399846539,0.03570148099970538,0.02676762263989076,0.003657787915084147,50,0.025908191491907928,0.005679180001607165,0.02396153200243134,0.029640712004038505,0,13,13;0,0.02191852399846539,0.03570148099970538,37.35856611000405,1.338381131994538,"[0.03027991000271868, 0.03257080000184942, 0.03570148099970538, 0.023849354009144008, 0.03320687300583813, 0.024480327003402635, 0.034273805998964235, 0.026985684991814196, 0.023607464012457058, 0.03233139499207027, 0.023487761995056644, 0.03253032399516087, 0.026151133002713323, 0.022865805003675632, 0.024459397987811826, 0.03363837501092348, 0.02396153200243134, 0.029569339007139206, 0.022670803009532392, 0.024329356994712725, 0.02374260600481648, 0.030241287997341715, 0.026800050007295795, 0.02509740499954205, 0.026410525999381207, 0.02497271199536044, 0.02375306500471197, 0.02353414699609857, 0.026138339992030524, 0.02812897099647671, 0.02570357100921683, 0.024010462992009707, 0.029640712004038505, 0.032695010988391005, 0.02631699200719595, 0.02512782099074684, 0.024292016998515464, 0.030170818004989997, 0.026028604988823645, 0.03038148899213411, 0.023999722994631156, 0.0242378760012798, 0.026994942003511824, 0.02216106500418391, 0.023264846997335553, 0.026921126001980156, 0.02655303099891171, 0.02191852399846539, 0.02578777799499221, 0.022404688003007323]",1,ssca,16
15,test_fastsc[16],,0.8238542170001892,0.8674815580016002,0.8337798019207548,0.006186090688603811,50,0.8339215299929492,0.004201225994620472,0.8311630170064745,0.835364243001095,3,8,8;3,0.8250135119888,0.8674815580016002,1.1993574294991656,41.68899009603774,"[0.825458276012796, 0.8320478500099853, 0.8343381390004652, 0.8318587590038078, 0.8274555489915656, 0.8389731079951162, 0.825657591005438, 0.830608353993739, 0.8250135119888, 0.8322935409960337, 0.8327994529972784, 0.8308601180033293, 0.8311630170064745, 0.831507306007552, 0.8238542170001892, 0.8246400269999867, 0.834165322012268, 0.8305710139975417, 0.8331625729915686, 0.833021311002085, 0.8354246460075956, 0.8345257400069386, 0.838116450002417, 0.8362268649943871, 0.8344509290036513, 0.8343297339888522, 0.8396795770095196, 0.832620961999055, 0.8372804120008368, 0.837151169005665, 0.8353328269877238, 0.8284967929939739, 0.8338888829894131, 0.8339541769964853, 0.8674815580016002, 0.8350449700083118, 0.836309706006432, 0.8310597890085774, 0.8336519680015044, 0.8344774910074193, 0.8379329780000262, 0.8348198419989785, 0.8306695979990764, 0.8407595000026049, 0.8353261390002444, 0.8356519130029483, 0.835364243001095, 0.833774111000821, 0.8343563990056282, 0.8313816899899393]",1,fastsc,16
8,test_fam[16],,0.023522643008618616,0.026958044996717945,0.02525429460016312,0.0007738983913069352,50,0.025357183505548164,0.0007706239994149655,0.02482139499625191,0.025592018995666876,2,15,15;2,0.023795597997377627,0.026958044996717945,39.59722557420158,1.262714730008156,"[0.026438112996402197, 0.02537970300181769, 0.025356521000503562, 0.02482139499625191, 0.026494965990423225, 0.02597138400597032, 0.02480699200532399, 0.02496144999167882, 0.023522643008618616, 0.025314858998171985, 0.025415799987968057, 0.02548686900991015, 0.025592018995666876, 0.02563381400250364, 0.02561892700032331, 0.026958044996717945, 0.02481540699955076, 0.024984231000416912, 0.0248986469960073, 0.02552589899278246, 0.024899087991798297, 0.025032509001903236, 0.02509169500262942, 0.026098893999005668, 0.025548178993631154, 0.025402437007869594, 0.025030224991496652, 0.026694918997236528, 0.0253194670076482, 0.025375989003805444, 0.024049284009379335, 0.024696521999430843, 0.024716056999750435, 0.024414322993834503, 0.025416912001674064, 0.024838037003064528, 0.026659205002943054, 0.024690089994692244, 0.026356129004852846, 0.026217096994514577, 0.025357846010592766, 0.025504220990114845, 0.025422311999136582, 0.025223403004929423, 0.025399522011866793, 0.025758682008017786, 0.02395689900731668, 0.02384773200901691, 0.02390377299161628, 0.023795597997377627]",1,fam,16
2,test_ssca[32],,0.05186046598828398,0.11412865300371777,0.07235123388003557,0.013716387998215585,50,0.06873236149840523,0.018828578016837128,0.06378416599181946,0.08261274400865659,1,17,17;1,0.05186046598828398,0.11412865300371777,13.821464353435685,3.617561694001779,"[0.07024202401225921, 0.07876529100758489, 0.08823052000661846, 0.0656119749910431, 0.05240490900177974, 0.06814640699303709, 0.055217626999365166, 0.05615473100624513, 0.07105374299862888, 0.06378416599181946, 0.08261274400865659, 0.05522327800281346, 0.06766295799752697, 0.09088626799348276, 0.06220399799349252, 0.06492486699426081, 0.09500180000031833, 0.11412865300371777, 0.06633989801048301, 0.08639997700811364, 0.07529630100179929, 0.09385853499406949, 0.07050465200154576, 0.07046941701264586, 0.08691099700808991, 0.0628262249956606, 0.0668172759906156, 0.06453962098748889, 0.07747536299575586, 0.0945534070051508, 0.06598778399347793, 0.08395907799422275, 0.06442904499999713, 0.06564746100048069, 0.05387141498795245, 0.09952969900041353, 0.06228063999151345, 0.06605069000215735, 0.0637720939994324, 0.08857692399760708, 0.06334458899800666, 0.0720860330038704, 0.08091731200693175, 0.07100385100056883, 0.05264775000978261, 0.06633395700191613, 0.08547404500131961, 0.07222291700600181, 0.05186046598828398, 0.06931831600377336]",1,ssca,32
16,test_fastsc[32],,1.4132121689908672,1.4592098419961985,1.433621054100513,0.009451984696505582,50,1.4344953655090649,0.010097305013914593,1.4281504319951637,1.4382477370090783,1,14,14;1,1.4132121689908672,1.4592098419961985,0.6975343987448783,71.68105270502565,"[1.4592098419961985, 1.4371199300076114, 1.4366426640044665, 1.4437076600006549, 1.4344785990106175, 1.4381430649955291, 1.4286234469909687, 1.4293149529985385, 1.439833551994525, 1.4342052879947005, 1.4382253590010805, 1.4253877040027874, 1.4340459310042206, 1.4378982049965998, 1.4175581090094056, 1.4270229739922797, 1.4274019110016525, 1.4251897630019812, 1.4307090240035905, 1.4157286619883962, 1.4360123869992094, 1.4314344589947723, 1.4360384930041619, 1.4187248109956272, 1.436148922002758, 1.4400695490039652, 1.4330663330038078, 1.4433682079979917, 1.4461421390005853, 1.4429139389976626, 1.4387430619972292, 1.4345121320075123, 1.415575416001957, 1.420229722003569, 1.4371722810028587, 1.4382477370090783, 1.4132121689908672, 1.4321278860006714, 1.4281504319951637, 1.425896215994726, 1.4486074909946183, 1.4383286270021927, 1.4500386240106309, 1.4471950260049198, 1.4365941819996806, 1.433911596002872, 1.431095270003425, 1.432807357996353, 1.4184989240020514, 1.435742672008928]",1,fastsc,32
9,test_fam[32],,0.041285915998741984,0.053591417003190145,0.04538984240032733,0.0019918716923198656,50,0.04520563400001265,0.0016217380034504458,0.044685113010928035,0.04630685101437848,5,9,9;5,0.04342591999738943,0.053591417003190145,22.031360919481592,2.2694921200163662,"[0.04518239700701088, 0.045228870993014425, 0.053591417003190145, 0.04659071899368428, 0.04553512399434112, 0.044697542005451396, 0.04485093899711501, 0.04458333599905018, 0.047399349001352675, 0.04573690801043995, 0.04607679099717643, 0.04505757200240623, 0.047593659997801296, 0.04473427800985519, 0.04630648599413689, 0.044281160007813014, 0.043696684995666146, 0.04410549599560909, 0.04438291701080743, 0.041285915998741984, 0.04143719999410678, 0.04433670399885159, 0.04488741800014395, 0.04487543700088281, 0.04488923100871034, 0.04133327199087944, 0.04872171000170056, 0.04689209700154606, 0.04647004599974025, 0.045415080996463075, 0.04570097700343467, 0.04554563699639402, 0.045867458000429906, 0.04342591999738943, 0.044685113010928035, 0.04630685101437848, 0.04620930399687495, 0.04705294799350668, 0.0459027010074351, 0.0413987409992842, 0.04491650499403477, 0.04503937700064853, 0.047996816007071175, 0.04494330300076399, 0.046493591988109984, 0.04645093499857467, 0.044914901998708956, 0.04534585999499541, 0.04381384300359059, 0.047305578002124093]",1,fam,32
17,test_fastsc[64],,3.705816436005989,3.8812110660073813,3.8258084243812482,0.04317950670490771,50,3.839063672494376,0.02645379699242767,3.8243195670074783,3.850773363999906,9,11,11;9,3.788743627999793,3.8812110660073813,0.2613826645440907,191.2904212190624,"[3.8110851330129663, 3.8682125420018565, 3.705816436005989, 3.7346356519992696, 3.8276313739916077, 3.8682775760098593, 3.8428642409999156, 3.759917112009134, 3.87109290198714, 3.8494762379996246, 3.8243195670074783, 3.8812110660073813, 3.8415399369987426, 3.8322796120046405, 3.871996230998775, 3.850773363999906, 3.854871229006676, 3.851018988993019, 3.8506725339975674, 3.826911961994483, 3.835909527988406, 3.836738174999482, 3.825740015003248, 3.8388800949906, 3.828460005010129, 3.837534833000973, 3.850696274006623, 3.8632563599967398, 3.8487182700046105, 3.8380861680052476, 3.8392472499981523, 3.845020803011721, 3.85805075999815, 3.739188608000404, 3.748860895007965, 3.7841858850006247, 3.798617052001646, 3.740304487000685, 3.857776807999471, 3.843807993005612, 3.8372099309926853, 3.8396542809932726, 3.843268505006563, 3.7408478730067145, 3.8339633970026625, 3.788743627999793, 3.742761123998207, 3.8464525580056943, 3.8678218510031, 3.866014109997195]",1,fastsc,64
